session,time,price_dayvwap_atr,price_weekvwap_atr,price_slvwap_atr,price_shvwap_atr,dayvwap_slvwap_spread_atr,shvwap_dayvwap_spread_atr,shvwap_slvwap_spread_atr,day_slope_atr,slvwap_slope_atr,shvwap_slope_atr,slvwap_freshness_bars,shvwap_freshness_bars,stack_bull,stack_bear,ret_h_close,ret_h_30bar,ret_h_60bar,label_ret_h_close,label_ret_h_30bar,label_ret_h_60bar
NY,2016-01-04 15:00:00,8.258715848237644,8.258715848237644,0.7198578010812741,-0.877025966598011,-7.53885804715637,9.135741814835654,1.596883767679285,0.15212718181555926,-0.014418337794791592,-0.3974758877175761,36,53,0,0,11.31664366059533,12.442168798629602,20.095739737260136,1.0,1.0,1.0
ASIA,2016-01-05 03:00:00,2.6696878603530196,7.797408368200499,1.8282257260079315,2.7508042354233986,-0.8414621343450882,-0.08111637507037886,-0.922578509415467,1.1997308008638279,1.3231209695269708,0.9439253215195881,30,87,0,0,2.61974036865886,1.0620569062132545,0.9204493187177604,1.0,1.0,1.0
NY,2016-01-05 15:00:00,3.994038946868518,10.594487692751708,-0.06255144823695187,0.15450326025924438,-4.05659039510547,3.8395356866092736,-0.21705470849619626,0.14465565638778724,0.2516092953203113,0.25078746273974406,77,83,0,0,-4.756104511848655,-4.9759244682789,-5.155777159903274,0.0,0.0,0.0
ASIA,2016-01-06 03:00:00,-1.3988154806148259,12.98701281453698,-3.442658037445457,-2.6817837423122626,-2.043842556830631,1.2829682616974367,-0.7608742951331944,-0.4080061658299191,-0.513974801512,-0.5965597888733624,113,77,0,1,3.7742795344410323,-9.04793039078307,-1.861288537532,1.0,0.0,0.0
NY,2016-01-06 15:00:00,10.999286453861375,17.380685180530737,4.441186117992929,3.3504232345781095,-6.5581003358684455,7.648863219283266,1.09076288341482,0.356476781033765,0.5852016631645847,0.623478416694883,86,59,0,0,-1.5995775530976686,-4.590092108888852,3.254792586302711,0.0,0.0,1.0
ASIA,2016-01-07 03:00:00,-2.1614118491243,40.00609143815545,-1.539632181867601,-1.9988628106421797,0.6217796672566991,-0.16254903848212035,0.4592306287745787,-0.5056800323875815,-0.5276017169956567,-0.4943982366306118,30,52,0,0,14.78742177163559,12.394081831717301,16.696395295141073,1.0,1.0,1.0
NY,2016-01-07 15:00:00,5.369256367509085,31.45702774291847,2.988119419880308,2.340931722832852,-2.381136947628778,3.0283246446762337,0.6471876970474559,0.13646201946820305,0.4420587219723676,0.38520409013404316,63,43,0,0,4.6034009914345235,0.8751712911472116,10.467048642120682,1.0,1.0,1.0
ASIA,2016-01-08 03:00:00,-1.890335052261619,48.80047722842315,-1.670790550501771,-2.0201679610265715,0.21954450175984794,0.1298329087649525,0.3493774105248004,-0.407337299006209,-0.2542276062687571,-0.7206100492853893,71,26,0,1,-11.127510029043037,-10.691137086727537,-9.36019961266578,0.0,0.0,0.0
NY,2016-01-08 15:00:00,-3.448480118220929,20.9687960238034,-0.36478611646487474,1.7871734649126991,3.0836940017560543,-5.235653583133628,-2.151959581377574,-0.06662820337779238,0.3336942184513719,0.3303598985300817,57,131,0,0,6.092700373505498,-0.16175310726105604,4.2954436261587965,1.0,0.0,1.0
ASIA,2016-01-11 03:00:00,-0.9505461427361043,-0.9505461427361043,-0.6689848852234933,-0.9921520048500904,0.2815612575126109,0.04160586211398611,0.32316711962659705,-0.042379353104450845,-0.0044549409325424115,-0.11141704036446862,63,26,0,1,-6.085050278521941,-2.9272779748951243,-4.425491111652702,0.0,0.0,0.0
NY,2016-01-11 15:00:00,-1.5402136901303805,-1.5402136901303805,-0.27419577586932253,-0.40731057669621684,1.266017914261058,-1.1329031134341634,0.13311480082689434,-0.018633455833047204,0.1351227431944626,0.0630709770090189,46,73,0,0,-7.8973686016236755,-5.632387251411622,-6.835032216125688,0.0,0.0,0.0
ASIA,2016-01-12 03:00:00,-2.502555329611772,-21.741590279124313,-1.5911749238890116,-2.368663564245953,0.9113804057227604,-0.13389176536581937,0.777488640356941,-0.6821290663290307,-0.1897515572130843,-1.1279527296499516,79,25,0,0,7.038611463538971,0.7390542036709198,0.31673751585896565,1.0,1.0,1.0
NY,2016-01-12 15:00:00,-9.64681730624579,-15.416194361712641,-3.96988085169447,-7.780822416847501,5.676936454551321,-1.8659948893982894,3.810941565153031,-0.5174117092748944,-1.7526697140898935,-1.2013331858633982,62,144,0,0,1.291928034628887,2.1316812571374872,-2.9843537599926586,1.0,1.0,0.0
ASIA,2016-01-13 03:00:00,-0.7718937031099679,-27.82601659712153,-7.022620186549472,-6.7243508836144175,-6.250726483439504,5.9524571805044495,-0.2982693029350546,-0.6472314801619943,-0.3227061742651232,-0.8033330111083804,147,93,0,1,-6.588536838408205,-2.291664987272334,-4.955725534976756,0.0,0.0,0.0
NY,2016-01-13 15:00:00,-0.8110613114508514,-21.32168545634481,1.5319952492562299,1.4918436034365103,2.343056560707081,-2.3029049148873617,0.04015164581971948,-0.11726958102364671,-0.09862706996524184,-0.3176692709274394,104,34,0,0,11.959119191907464,-2.472968104303892,11.263596912572172,1.0,0.0,1.0
