trade_no,sl_atr_ratio,mins_from_session_open,vwap_distance_atr,spread_at_entry,bos_count,range_exited,sweep_depth_atr,net_r,label,session,model,order_kind,bias,weekday
753,1.8734939759036144,66.0,0.46385542168674704,33.0,0.0,1.0,1.0542168674698795,-1.0064,loss,NY,IFVG,MARKET,BUY,Wednesday
754,3.3777777777777778,20.0,0.35555555555555557,33.0,0.0,0.0,1.022222222222303,-1.0132,loss,ASIA,IFVG,MARKET,BUY,Thursday
755,2.9,40.0,0.32,33.0,0.0,0.0,1.1400000000003274,-1.0,loss,ASIA,IFVG,MARKET,BUY,Thursday
756,2.246153846153846,66.0,0.24615384615384614,33.0,1.0,0.0,0.04615384615415398,-0.0068,scratch,ASIA,CHoCH,LIMIT,BUY,Thursday
757,2.7280701754385968,16.0,9.42982456140351,35.0,0.0,1.0,1.140350877193142,-0.0032,scratch,NY,IFVG,MARKET,BUY,Thursday
758,1.5906432748538013,76.0,6.286549707602339,33.0,1.0,1.0,2.4853801169590644,-0.0037,scratch,NY,CHoCH,LIMIT,BUY,Thursday
759,1.7159090909090908,112.0,6.107954545454546,33.0,0.0,1.0,1.755681818181901,-1.0066,loss,NY,IFVG,MARKET,BUY,Thursday
760,2.1463414634146343,26.0,0.8536585365853658,33.0,0.0,1.0,2.317073170732373,-1.0114,loss,ASIA,IFVG,MARKET,BUY,Friday
761,2.5121951219512195,40.0,0.8536585365853658,33.0,0.0,1.0,1.5365853658528157,-1.068,loss,ASIA,IFVG,MARKET,BUY,Friday
762,1.6862745098039216,64.0,0.6862745098039215,35.0,1.0,1.0,0.333333333333476,-1.0116,loss,ASIA,CHoCH,LIMIT,BUY,Friday
763,4.520231213872832,68.0,0.40173410404624277,33.0,0.0,1.0,3.6907514450867,-0.0006,scratch,NY,IFVG,MARKET,SELL,Friday
764,2.148148148148148,8.0,0.07407407407407407,33.0,0.0,1.0,2.3333333333337376,-1.0,loss,ASIA,IFVG,MARKET,SELL,Monday
765,0.9012345679012345,68.0,0.04938271604938271,33.0,0.0,1.0,1.1111111111112233,-1.0,loss,ASIA,CHoCH,LIMIT_DEGRADED,SELL,Monday
766,2.048780487804878,74.0,0.04878048780487805,33.0,0.0,1.0,0.6829268292682261,-1.0,loss,ASIA,CHoCH,LIMIT_DEGRADED,SELL,Monday
767,2.8269230769230766,68.0,2.192307692307692,36.0,0.0,1.0,3.0384615384613984,0.0,scratch,NY,IFVG,MARKET,BUY,Monday
768,1.8947368421052635,16.0,0.14035087719298248,33.0,0.0,1.0,1.5438596491222008,-1.0093,loss,ASIA,IFVG,MARKET,BUY,Tuesday
769,1.8979591836734695,32.0,0.163265306122449,33.0,0.0,1.0,2.367346938776141,-0.0215,loss,ASIA,IFVG,MARKET,BUY,Tuesday
770,3.045454545454545,68.0,0.12121212121212122,33.0,0.0,1.0,0.939393939394463,-1.0249,loss,ASIA,IFVG,MARKET,BUY,Tuesday
771,1.90625,12.0,0.484375,33.0,1.0,1.0,0.3437500000003979,0.0,scratch,NY,CHoCH,LIMIT,BUY,Tuesday
772,1.0303030303030303,90.0,0.23484848484848483,33.0,2.0,1.0,0.5681818181818181,-1.0,loss,NY,CHoCH,LIMIT,BUY,Tuesday
773,2.7818181818181817,30.0,2.509090909090909,34.0,0.0,1.0,0.6181818181820827,-1.0,loss,ASIA,IFVG,MARKET,BUY,Wednesday
774,2.3661971830985915,72.0,1.9436619718309858,33.0,0.0,1.0,3.802816901408835,1.494,win,ASIA,IFVG,MARKET,BUY,Wednesday
775,1.3118279569892473,58.0,0.25,33.0,1.0,1.0,4.975806451612839,-0.002,scratch,NY,CHoCH,LIMIT,BUY,Wednesday
776,2.1120689655172415,98.0,0.4008620689655173,33.0,0.0,1.0,0.840517241379232,-1.002,loss,NY,IFVG,MARKET,BUY,Wednesday
777,2.4615384615384612,44.0,2.128205128205128,33.0,1.0,0.0,0.7435897435896502,-1.0,loss,ASIA,CHoCH,LIMIT,SELL,Thursday
778,1.5189873417721518,84.0,1.050632911392405,33.0,1.0,0.0,3.3544303797469506,-1.0083,loss,ASIA,CHoCH,LIMIT,SELL,Thursday
779,0.9838709677419355,108.0,1.3387096774193548,33.0,1.0,0.0,0.919354838709208,1.5902,win,ASIA,CHoCH,LIMIT,SELL,Thursday
780,1.935897435897436,14.0,4.576923076923077,33.0,1.0,1.0,0.28205128205102553,-0.0066,scratch,NY,CHoCH,LIMIT,BUY,Thursday
781,1.943262411347518,32.0,2.5319148936170213,38.0,0.0,1.0,0.20567375886522243,2.3358,win,NY,CHoCH,LIMIT_DEGRADED,BUY,Thursday
782,3.056603773584906,32.0,0.830188679245283,35.0,0.0,0.0,2.0188679245286107,-0.0062,scratch,ASIA,IFVG,MARKET,BUY,Friday
783,1.5876288659793816,56.0,0.4536082474226804,33.0,0.0,1.0,1.1752577319591004,2.4156,win,ASIA,CHoCH,LIMIT_DEGRADED,BUY,Friday
784,1.53,13.0,1.77,35.0,1.0,1.0,0.2699999999999818,-0.0065,scratch,NY,CHoCH,LIMIT,BUY,Friday
785,1.8679245283018866,22.0,0.056603773584905655,33.0,0.0,0.0,4.056603773585077,-1.0101,loss,ASIA,IFVG,MARKET,SELL,Monday
786,1.7608695652173914,56.0,0.06521739130434782,33.0,0.0,0.0,1.456521739130593,-1.0123,loss,ASIA,IFVG,MARKET,SELL,Monday
787,2.653061224489796,66.0,0.061224489795918366,36.0,0.0,0.0,0.326530612244601,-1.0,loss,ASIA,IFVG,MARKET,SELL,Monday
788,1.7472527472527473,18.0,0.9120879120879121,33.0,0.0,0.0,0.23076923076927075,0.0,scratch,NY,CHoCH,LIMIT_DEGRADED,SELL,Monday
789,1.8333333333333335,84.0,0.8645833333333334,33.0,1.0,0.0,2.979166666666326,-1.0,loss,NY,CHoCH,LIMIT,SELL,Monday
790,2.4444444444444446,98.0,0.6587301587301587,35.0,0.0,1.0,0.4365079365080809,-1.0,loss,NY,IFVG,MARKET,SELL,Monday
791,2.709090909090909,14.0,1.109090909090909,33.0,0.0,1.0,0.7090909090915043,-1.0134,loss,ASIA,IFVG,MARKET,BUY,Tuesday
792,2.43859649122807,32.0,1.0701754385964912,33.0,0.0,1.0,1.5087719298239872,-1.0,loss,ASIA,IFVG,MARKET,BUY,Tuesday
793,2.409090909090909,64.0,1.3863636363636362,33.0,0.0,1.0,4.227272727273017,-1.0,loss,ASIA,IFVG,MARKET,BUY,Tuesday
794,3.1335740072202163,54.0,0.02888086642599278,33.0,0.0,1.0,3.7075812274368167,-1.0046,loss,NY,IFVG,MARKET,BUY,Tuesday
795,2.903225806451613,26.0,2.8225806451612905,33.0,0.0,1.0,2.85483870967739,-1.0111,loss,ASIA,IFVG,MARKET,BUY,Wednesday
796,2.5423728813559325,52.0,2.9661016949152543,33.0,0.0,1.0,0.13559322033885973,-0.0133,scratch,ASIA,IFVG,MARKET,BUY,Wednesday
797,2.435185185185185,100.0,1.6203703703703702,33.0,0.0,1.0,2.0925925925923736,-1.0,loss,ASIA,CHoCH,LIMIT_DEGRADED,BUY,Wednesday
798,1.5698924731182795,22.0,5.924731182795698,33.0,0.0,1.0,1.0000000000003129,-1.0,loss,NY,IFVG,MARKET,BUY,Wednesday
799,2.4791666666666665,42.0,5.739583333333333,33.0,0.0,1.0,2.552083333333144,0.0,scratch,NY,IFVG,MARKET,BUY,Wednesday
800,1.418918918918919,106.0,3.722972972972973,33.0,0.0,1.0,2.96621621621613,-1.0,loss,NY,IFVG,MARKET,BUY,Wednesday
801,1.2894736842105263,30.0,0.9342105263157894,33.0,0.0,0.0,0.36842105263124386,-0.0102,scratch,ASIA,IFVG,MARKET,BUY,Thursday
802,2.158333333333333,72.0,0.5916666666666667,33.0,0.0,0.0,3.5000000000002274,-1.0,loss,ASIA,IFVG,MARKET,BUY,Thursday
803,1.7077922077922076,86.0,0.461038961038961,33.0,1.0,0.0,0.2597402597403188,-1.0038,loss,ASIA,CHoCH,LIMIT,BUY,Thursday
804,1.6666666666666665,22.0,16.10185185185185,36.0,1.0,0.0,0.08333333333346807,-1.0,loss,NY,CHoCH,LIMIT,BUY,Thursday
